x1,x2,x3,x4
2.275510452,-0.434774142,-1.628550379,-2.098425973
0.192274397,2.166921203,-3.657123836,-0.795521031
-0.040727036,0.222141315,-0.578366105,-0.028201309
-0.005586991,-1.772820168,3.175823179,-0.727236182
-1.408468301,-0.321529604,2.055957485,2.027776654
-0.974169563,-0.006720681,0.079305489,1.205122335
1.927273951,-0.188993038,-0.816231257,-2.818776915
1.050854236,1.732766356,-3.480539126,-1.162305838
-0.952569592,1.139079861,-1.929810904,0.631075813
0.175612282,-1.59296033,2.912322211,-0.310074116
-0.486521778,-1.328891844,3.521736243,1.634888326
-1.296120753,0.299068681,1.111854877,2.358267514
1.497374136,-0.572202037,0.340949244,-2.193213858
1.708085726,1.165019754,-3.220380273,-1.895959612
0.043406665,1.719088119,-2.936629763,0.561600458
-0.293313893,-0.747503454,1.103150915,0.196885617
0.207981466,-2.002693444,3.1708577,0.747737695
-1.312012074,-0.303992646,1.076692134,2.934646425
0.171055088,0.141781356,-0.385601075,-1.066790097
1.326235288,0.391904091,-1.916760271,-3.707349926
0.163305333,1.933401548,-3.691445082,-0.066045657
0.218413537,0.479843481,-0.02843117,0.525119091
-0.064906879,-1.945287963,3.706563454,-0.29677813
-1.293207662,0.382869796,1.746910686,3.131191679
-0.629809095,0.398842071,-0.087777326,0.871665392
1.813165992,-0.092592257,-0.971406848,-3.589346274
0.633956423,1.65073051,-3.659506601,-0.484515059
0.018359367,0.438678713,-1.493351357,0.257442615
0.273163576,-1.501655579,2.889927033,-0.725496077
-0.988887743,-1.120174732,2.718659045,1.890352275
-1.068687821,0.103802765,0.612566858,1.588706297
1.489335221,-0.209627604,0.09420611,-2.486512694
1.386340338,0.651682746,-3.147349771,-1.600720847
-0.693738186,1.70856559,-2.80896413,0.459953455
0.656331452,-1.323003286,2.265855258,-0.603715575
-0.262325846,-1.4305446,3.364381333,0.89666517
-1.35398371,0.076584072,0.738806067,3.307383381
0.695521206,-0.477215245,-0.004936071,-1.279380832
1.546866501,0.602533578,-2.193223375,-2.253604835
-0.106333909,1.792670959,-2.949063321,0.384555881
